japanese,english
法科,Law
平凡,Mediocre
不幸,Unhappy
単線,Single wire
試す,try
錫,tin
キングス,Kings
大軍,Army
合宿,Training camp
遠ざかる,Away
ジョルジュ,Georges
判別,Discrimination
史家,historian
三沢,Misawa
直樹,Naoki
睡眠,sleep
著述,Writing
茜,madder
カーン,Khan
浄化,purification
益田,Masuda
プログラマ,Programmer
動態,Movement
旧道,Old road
栗原,Kurihara
横切る,Cross
レニングラード,Leningrad
快適,comfortable
夕張,Yubari
いち早く,Quickly
培養,culture
セミナー,Seminar
ピストン,piston
メッツ,Metz
グレー,gray
凄い,great
地層,Stratum
棋,棋
レインボー,Rainbow
快挙,Brilliant achievement
飯塚,Iizuka
遷都,Cent
書院,Drawing room
ステイタス,Status
預言,Prophecy
テイク,take
坂井,Sakai
勝ち取る,Win
問屋,Wholesale store
正午,noon
纏う,Wear
申し入れる,Lodge
苦しめる,Afflict
水没,Submerge
みゆき,Miyuki
ベック,Beck
始祖,founder
嵯峨,Saga
農耕,Farming
インバータ,Inverter
クーパー,Cooper
天理,Natural law
子女,Child
志村,Shimura
マスメディア,Mass media
顕微,Microscopic
田口,Taguchi
真言宗,Shingon
富裕,Wealth
助監督,assistant director
傾倒,Tilt
磐田,Iwata
スターズ,Stars
肝臓,liver
警護,Escort
外野,outfield
人造,Man-made
電器,Electric Appliances
茄子,eggplant
藤村,Fujimura
計上,Recorded
寒冷,cold
飲酒,Drinking
養女,adopted daughter
王冠,crown
茶色,Brown
大成,Taisei
伝染,Contagion
抗体,antibody
県警,Police
縫う,sew
バークレー,Berkeley
イアン,Ian
ウィキペディア,Wikipedia
エミー,Emmy
呼応,Response
自生,Autogenous
発熱,Generation of heat
平井,Hirai
レジャー,leisure
クライスラー,Chrysler
パルマ,Parma
アイアン,Iron
囃子,Accompaniment
希少,Rarity
新橋,Shinbashi
華族,Noble
養護,Nursing
愛情,love
機甲,Armor
内紛,Internal strife
夢見る,dream
天竜,Tenryu
愛宕,Atago
こんな,Such
秘める,Conceal
糖尿,Diabetes
賃貸,Lease
消火,Fire fighting
開山,Founding a temple
奔走,Efforts
モビルスーツ,Mobile Suits
同窓,Same school
対向,Counter
尖る,Taper to a point
縛る,Tie
ピエモンテ,Piedmont
ツーリング,Touring
必然,Inevitable
悪役,villain
ノンフィクション,Non-Fiction
外装,Exterior
和音,Chords
蒲田,Kamata
甲州,Koshu
ギミック,gimmick
横田,Yokota
手間,Time
持ち掛ける,Offer a suggestion
川中,Midstream
伝導,transmission
アントン,Anton
言動,Words and deeds
規範,Norm
内線,Extension line
升,Noboru
和睦,Reconciliation
スピンオフ,Spin-off
フレッド,Fred
中継ぎ,Intermediary
傷害,injury
反則,Foul play
本誌,This magazine
正則,regular
大麻,Cannabis
近所,Neighborhood
裏面,Back
覆す,Overturn
宣教,Missions
上段,Upper stage
ラトビア,Latvia
ヌード,nude
シャフト,shaft
ジャニーズ,Johnny
バーズ,Birds
ウイスキー,whisky
亨,Toru
損なう,Damage
滋,Shigeru
フラワー,flour
ボリビア,Bolivia
少量,Small quantity
収縮,Contraction
溶岩,lava
炎症,inflammation
画策,Scheme
白血病,leukemia
アンサンブル,ensemble
オーボエ,Oboe
キーワード,keyword
リッチモンド,Richmond
上り線,Up line
江南,Gangnam
魔法使い,Witch
速やか,Speed
ブエノスアイレス,Buenos Aires
ガンマ,gamma
ケーキ,cake
アマ,Flax
規程,Official regulations
討ち死に,die in battle
潜入,Infiltration
サーカス,Circus
スケッチ,sketch
書体,Font type
構文,syntax
出征,Campaigning
ハット,hat
タグ,tag
受け付ける,Be accepted
年数,Number of years
池上,Ikegami
単身,Alone
実父,Real father
騙す,pull the wool over eyes
洗浄,Washing
主軸,Main shaft
エッジ,Edge
ファイブ,Five
ディーン,Dean
請け負う,Undertake
酸性,Acidity
ぞ,
晴れる,Be sunny
直訳,Literal translation
風刺,satire
立ち入る,Intrude
辛うじて,barely
デュオ,duo
中納言,Chunagon
リベラル,liberal
冷たい,cold
単于,Chanyu
小室,Komuro
パニック,panic
被告人,Accused
軍縮,disarmament
カートリッジ,cartridge
望月,Full moon
時事,Current events
山西,Shanxi
テール,Tail
捲る,Turn over
酸い,sour
甫,Hajime
パラダイス,Paradise
ほんの,only
繋げる,connect
慧,Kei
パルス,pulse
膳,Meal
重心,Center of gravity
織る,weave
パスワード,password
ファンク,Funk
サックス,Sax
サミット,Summit
サード,Third
内政,Domestic affairs
宿主,Host
授かる,Be gifted
千鳥,Chidori
祈祷,prayer
総当たり,Round-robin
無数,Countless number
県議,Prefectoral assembly
エンブレム,emblem
三部作,Trilogy
武藤,Muto
トウモロコシ,corn
銃身,Gun barrel
説教,Sermon
長浜,Nagahama
震度,Seismic intensity
潟,lagoon
総括,Summary
一夫,Kazuo
地中,Underground
エルフ,Elf
ビクトリア,Victoria
商売,business
履歴,The history
長江,Yangtze River
財界,Financial world
共著,Co-author
匿名,Anonymous
エステル,ester
隔離,isolation
原子核,Nucleus
巳,Snake
根岸,Negishi
偶々,Even people
今では,Now
従三位,Accordance third place
手帳,Notebook
ホース,hose
福建,Fujian
宜,Yibin
内訳,Breakdown
値段,price
参院,House of Councilors
禅寺,Zen temple
鍛冶,Blacksmith
離す,Separate
オスカー,Oscar
食べ物,food
城郭,Castle
両立,Compatibility
争奪,Contest
目前,The current
直系,Direct line
オムニバス,Omnibus
フロンティア,Frontier
竜王,Ryuo
結集,Rally
渡航,Voyage
退会,Unsubscribe
共存,Coexistence
図柄,Design
大事,Importance
ウォール,Wall
ピックアップ,pick up
ゼネラル,General
増発,Issuance
上告,appeal
回廊,corridor
南関,Nankan
奏する,To do so
暑い,hot
クリスティアン,Cristian
配達,delivery
ボギー,bogie
マック,Mac
アドバイザー,Adviser
負け越す,Makekosu
表れる,appear
浅間,Asama
相関,correlation
築地,Tsukiji
光景,Scene
味わう,taste
大工,carpenter
眺める,View
鳴る,Sound
キッズ,Kids
入城,Triumphant entry into a castle
立ち寄る,Stop at
海中,Sea
湖北,Hubei
点検,inspection
被爆,Bombed
ブース,booth
抵当,mortgage
放流,Released
残せる,Leave
治す,cure
東国,Eastern provinces
霞,haze
私生活,Private life
グルメ,Gourmet
ポーズ,Pause
バチカン市国,Vatican City
ナイル,Nile
ペルシャ,Persian
祭典,Festival
補欠,Filling a vacancy
ルワンダ,Rwanda
ワープ,warp
クリック,click
ウイーク,Week
裁定,Ruling
転生,Reincarnation
石山,Ishiyama
ヴァイマル,Weimar
学説,theory
帯広,Obihiro
ユーラシア,Eurasia
スマート,smart
フラグ,flag
興奮,excitement
獣医,Veterinarian
積雪,Fallen snow
絶大,Tremendous
強姦,rape
慰安,comfort
乗馬,horse riding
篠原,Shinohara
コンビニ,convenience store
アゼルバイジャン,Azerbaijan
トンプソン,Thompson
続出,After another
肩書き,Title
色素,Pigment
清掃,cleaning
滑らか,Smoothness
長者,Millionaire
文治,Bunji
ロドリゲス,Rodriguez
ジャッキー,Jackie
スティーヴ,Steve
クエスト,quest
筆記,Scribe
ボーカリスト,vocalist
客観,objective
有形,tangible
ヴィクトル,Viktor
ヨルダン,Jordan
蘇る,Be revived
細分,Subdivided
聖地,Holy Land
借用,Borrowing
暴露,exposure
羽毛,down
スチール,steel
皆無,Nothing
頑張る,Hold out
棺,The coffin
法規,Law
リチウム,lithium
北山,Kitayama
劣勢,Numerical inferiority
ブレーメン,Bremen
磨く,polish
アクティブ,Active
孤独,Loneliness
提訴,Suing
平壌,Pyongyang
マリアナ,Mariana
点差,Point difference
疲れる,Get tired
百選,One hundred election
マルセイユ,Marseille
幅員,Width
内匠,Takumi
シューマッハ,Schumacher
パイレーツ,Pirates
繰り出す,Send out
芋,potato
意外,Surprising
年表,chronology
吸血,Sucking blood
石狩,Ishikari
県下,prefecture
回生,Regenerative
密集,Dense
放浪,wandering
分担,Sharing
清算,Liquidation
選曲,Music selection
賀茂,Kamo
力強い,Strong
実効,The effective
リマ,Lima
判る,Know
蒸留,distillation
納得,Consent
結党,Formation of a party
ひまわり,sunflower
欠番,Missing number
下りる,Descend
レモン,lemon
吉岡,Yoshioka
艦載機,Shipborne plane
マッカーサー,MacArthur
グラフィックス,Graphics
アトランティック,Atlantic
ギルバート,Gilbert
課する,impose
離反,Away from
以東,To the east of
京極,Kyogoku
反復,Repetition
小柄,Short
ユーロビジョン,Eurovision
駆る,Impel
カッセル,Kassel
ミラン,Milan
パウル,Paul
要職,Key positions
慕う,Yearn for
抜,Unplug
有線,Wired
染める,dye
天草,Agar-agar
ウェア,Wear
もとより,Well
フォール,Fall
新制,New system
入所,Admission
取り掛かる,Begin
効く,Be effective
匈奴,Xiongnu
ロッキード,Lockheed
体質,Constitution
震源,Epicenter
ドジャース,Dodgers
タスク,task
ファイナルファンタジー,Final Fantasy
大泉,Oizumi
屋台,Food stands
レオナルド,Leonardo
水車,Water mill
戦犯,War criminal
クランク,crank
鉱石,ore
速射砲,Rapid-fire gun
萩原,Hagiwara
要領,Point
警部,Police inspector
元祖,Originator
レイン,rain
ファンクラブ,Fan club
縦断,Longitudinal
津川,Tsugawa
滴,drop
虻,Horsefly
床下,Under the floor
梶,Kaji
エール,Ale
アンゴラ,Angola
ウェルズ,Wells
物件,Article
聖歌,chant
税金,tax
精霊,spirit
貯金,savings
プラモデル,Plastic
櫛,comb
リッジ,ridge
持ち上がる,Lifting
期す,Sake
江川,Egawa
ウィング,Wing
ステファン,Stefan
シャッター,shutter
ジョナサン,Jonathan
出展,Exhibit
如何,How
伊那,Ina
信条,Creed
プラットホーム,platform
トランスフォーマー,Transformers
特務,Secret military
入浴,bathing
彦根,Hikone
廃藩置県,Abolition of clans and establishment of prefectures
上水,Water supply
冪,Powers
吸気,Inspiration
デラックス,Deluxe
フランドル,Flanders
グリル,grill
紡績,spinning
取り外す,Detach
家事,Housework
復員,Demobilization
獄,Prison
略号,Abbreviations
発布,Promulgated
皇女,Imperial princess
高台,High ground
萌える,Moe
振付,Choreography
斬新,Novelty
大仏,Great Buddha
尾道,Onomichi
クラスター,cluster
サイパン,Saipan
裁く,judge
硬化,Hardening
海豚,dolphin
王宮,Royal Palace
ラルフ,Ralph
油圧,hydraulic
巻き起こす,Stir up
他人事,Other people's affairs
ジャイアント,Giant
養育,Upbringing
捕,Catching
出番,Turn
フィアット,Fiat
ダブリン,Dublin
別個,separate
洛陽,Luoyang
追及,Pursue
ペナルティー,penalty
ファンド,fund
鍋島,Nabeshima
迫撃砲,mortar
遠江,Totomi
紳士,Gentleman
参詣,Pilgrimage
城山,Shiroyama
新書,Shinsho
欠,Lack of
決闘,duel
機首,nose
御宅,Your home
分社,Spin-off
ボリス,Boris
パイ,pie
三菱ふそう,Mitsubishi Fuso
全額,Full amount
太刀,Long sword
病没,Byobotsu
狩野,Kano
失速,stall
勝る,Excel
偏る,Lean
殿,Palace
嘆く,Lament
市町,Cities and towns
標榜,Advocate
送電,Power Transmission
図形,Figure
大体,Generally
ドバイ,Dubai
欠かせる,To essential
アーツ,Arts
はな,Flower
ヒューズ,fuse
用紙,A sheet
大師,Daishi
待合室,waiting room
仕手,Protagonist
修業,Studying
男児,Male child
稲垣,Inagaki
痰,Phlegm
近親,Relatives
かねて,Some time
ステッカー,Sticker
第一線,The front line
テクニカル,technical
柳川,Yanagawa
他者,Another person
倒壊,collapse
変貌,transfiguration
脇役,Supporting role
豊前,Buzen
高官,High official
鍵盤,keyboard
長島,Nagashima
鵜,Cormorant
定額,Fixed amount
是非,I'd love to
有事,Emergency
本殿,Main shrine
万葉,Manyo
使命,mission
悲しい,sad
態勢,Attitude
五島,Goto
異議,Objection
インパクト,Impact
ヒドロキシ,Hydroxy
フラット,flat
墳丘,Mounds
小数,Decimal
ヴィラ,Villa
医院,Clinic
槽,Bath
松永,Matsunaga
専業,Specialty
モンテ,Monte
受け持つ,Take charge of
手形,Promissory note
海南,Hainan
溜まる,Collects
短歌,Tanka
配当,dividend
麹,malt
将軍家,Shogun
古田,Furuta
勘違い,Misunderstanding
推挙,Recommendation
船員,Sailor
ドミニカ共和国,Dominican Republic
ドレス,dress
イースタン,Eastern
深度,depth
運休,Suspended service
鉄筋,Rebar
動揺,upset
フェロー,Fellow
絵柄,Design
慈善,charity
承継,Succession
ローター,rotor
ネイティブ,native
チェン,Cheng
自力,Own
蛍,firefly
永い,long
内科,Internal medicine
大介,Daisuke
本稿,This paper
漆,lacquer
寺田,Terada
別人,Different person
打ち破る,Breaking
ジャー,jar
カルチャー,Culture
エージェンシー,agency
水島,Mizushima
ルイーズ,Louise
卸,Wholesale
溶媒,solvent
甚大,Enormous
山林,Mountain forest
アカウント,account
スムーズ,Smooth
ファイバー,Fiber
浮動,floating
濠,Moat
スワローズ,Swallows
ポーツマス,Portsmouth
杏,apricot
戦況,War situation
政変,Coup
榎本,Enomoto
水谷,Mizutani
余地,room
ハードコア,Hardcore
自発,spontaneous
アウェー,Away
エアロ,Aero
材質,Material
朝鮮民主主義人民共和国,Democratic People's Republic of Korea
安堵,The relief
訳語,Translation
スパイク,spike
シグナル,signal
安心,relief
棋戦,Hexene
同族,Cognate
動的,dynamic
少なからず,Not a little
後押し,Backing
特産,Specialty
チュニジア,Tunisia
造園,Landscaping
新約,New Testament
エンジニアリング,engineering
キュー,queue
草案,draft
行軍,March
過度,Excess
羊歯,fern
電位,potential
烏賊,squid
フレンチ,French
トレイン,Train
履行,Fulfillment
敬意,respect
新川,Shinkawa
枚方,Hirakata
正平,Shohei
無断,Without permission
軍医,The surgeon
にっぽん,Japan
トリプル,triple
燃やす,burn
商社,trading company
リソース,resource
馳せる,Wins
いる,Are
キース,Keith
怖い,scared
描画,drawing
久喜,Kuki
便所,Toilet
観覧,Viewing
血圧,blood pressure
隣国,Neighboring countries
クラッチ,clutch
ネブラスカ,Nebraska
ヴァイオリニスト,Violinist
学力,Academic skills
松村,Matsumura
収支,Balance of payments
命題,proposition
アドバイス,advice
笑顔,Smiling face
総主教,Patriarch
活字,Printing type
ホーン,Horn
杉本,Sugimoto
老舗,Long-established
骨髄,Marrow
直ぐ,immediately
企図,Contemplated
検閲,censorship
素人,amateur
無差別,Indiscriminately
大倉,Okura
リットル,liter
丹羽,Niwa
取水,Water intake
団結,Unity
とはいえ,Although
解す,Understood
速球,Fastball
協和,Kyowa
大当たり,Jackpot
椀,Wooden bowl
入港,Entry into port
デュエット,duet
死因,cause of death
画する,Demarcate
監禁,Confinement
湖畔,Lake shore
朝夕,morning and evening
宇和島,Uwajima
中身,contents
セグメント,segment
ターナー,Turner
バリアフリー,Barrier-free
与する,Take part
定格,Rated
幕張,Makuhari
送付,Sending
評,Commentary
琵琶湖,Biwa lake
麻酔,anesthesia
未定,Undecided
出塁,On-base
信念,belief
従前,Previous
所定,Prescribed
大岡,Ooka
加古川,Kakogawa
勧誘,Solicitation
覇権,hegemony
起業,Starting a business
畜産,Animal Husbandry
セーヌ,Seine
デール,Dale
勉,Tsutomu
ロビン,Robin
モンゴメリー,Montgomery
暴れる,Rage
救難,rescue
小坂,Kosaka
ドット,Dot
ベイスターズ,Bay Stars
陽性,Positivity
連発,Firing in rapid succession
デンバー,Denver
フェリクス,Felix
レジ,cash register
コンパイル,compile
ヘリ,Border
漁船,Fishing boat
紫色,purple
類型,Pattern
富岡,Tomioka
抑圧,suppression
合祀,Enshrining together
常用,Common
レフェリー,referee
デパート,Department store
カージナルス,Cardinals
キューブ,Cube
語尾,End of a word
当面,for the time being
奉天,Mukden
両手,both hands
変革,Change
弁当,Lunch box
ブルク,Petersburg
ミルウォーキー,Milwaukee
吉祥,Lucky omen
遠く,far away
洗う,wash
築造,Construction
カレンダー,calendar
一度に,All at once
新城,Xincheng
常盤,Tokiwa
ディズニーランド,Disneyland
絶縁,Insulation
鍛える,Exercise
大勝,Great victory
寄席,vaudeville
審理,Trial
検挙,Arrest
三味線,Shamisen
人民党,People's Party
偽造,Forgery
共生,Symbiosis
スタイン,Stein
フィニッシュ,finish
フォルクス,Volkswagen
長身,tall
阿弥陀,Amitabha
苦,Bitter
アンプ,Amplifier
アーク,arc
チャールストン,Charleston
多年,many years
大隅,Osumi
可愛い,cute
ラファエル,Raphael
本因坊,Honinbo
梯子,ladder
ワーゲン,Volkswagen
揚げる,Deep fry
製菓,confectionery
遍羅,AmaneRa
荒らす,Lay waste
メソッド,Method
ゲームオーバー,Game over
コナン,Conan
奉公,Apprenticeship
完投,Complete game
孟,Meng
客席,Seats
御家人,Gokenin
感銘,Impressed
日頃,Daily
バトラー,Butler
ケビン,Cabin
匂う,smell
リーフ,Leaf
衆院,House of Representatives
鷺,heron
ブースター,booster
主君,lord
左京,Sakyo
エドガー,Edgar
オーバーホール,overhaul
家政,Household economy
下落,Decline
メント,Placement
野望,ambition
隆起,Protuberance
物語る,Narrate
除名,Expulsion
離散,Discrete
今治,Imabari
付け加える,add
即興,Improvisation
鉄鉱,Iron ore
長嶋,Nagashima
合致,Agreement
曳航,towing
伊勢崎,Isesaki
そちら,there
ハンマー,hammer
穏健,Moderate
逆襲,Counterattack
カレン,Karen
転出,Moving out
芦屋,Ashiya
鮮やか,vivid
物価,prices
申告,Report
多量,A large amount
嬢,Miss
心筋,Myocardial
下水,sewage
レシピ,recipe
干拓,Land reclamation
盆,Tray
神事,Shinji
シュトゥットガルト,Stuttgart
シリアル,Serial
矯正,Correction
社交,Social life
女児,Baby girl
光明,Hope
パパ,Dad
受理,Acceptance
否決,Rejection
学業,Schoolwork
明言,Stated
グライダー,glider
ほど,About
名神,Meishin
国教,state religion
乗り物,vehicle
籠城,Siege
フリーランス,Freelance
枢軸,pivot
手腕,Ability
アトリエ,Atelier
アナポリス,Annapolis
鳥栖,Tosu
銃弾,bullet
議定書,Protocol
筑紫,Tsukushi
履く,wear
プレイオフ,Playoffs
予科,Preparatory course
教材,Teaching materials
照れる,Be shy
田畑,fields
貸与,Loan
流れ出る,Flowing out
直行,Nonstop
張り付ける,Stick
図鑑,Picture book
内定,Job offer
ディス,Discover
劉備,Ryu-bi
村落,Villages
ピート,Pete
フォレスト,Forest
若葉,New leaves
電極,electrode
霜,frost
高倉,Takakura
薬局,pharmacy
あゆみ,History
オンエア,On the air
トータル,total
林業,forestry
匡,Tadashi
囲う,Enclose
天満,Tenma
小国,Small country
アワー,Hour
コメンテーター,commentator
エディンバラ,Edinburgh
小浜,Obama
構図,composition
廃墟,ruins
不便,inconvenience
分隊,squad
ジャングル,jungle
打球,Hitting
ミッキー,Mickey
賜る,Bestow
美作,Mimasaka
持ち出す,Bring out
両用,Dual use
耕作,Cultivation
至近,Close
街路,street
身近,Familiar
ダーウィン,Darwin
事典,Encyclopedia
健闘,Good luck
後輪,Rear wheel
日吉,Hiyoshi
氾濫,flood
坂田,Sakata
ロペス,Lopez
ガイドライン,Guidelines
遊戯,game
英訳,English translation
府県,Prefecture
やっと,Barely
試行,Trial
チューニング,tuning
伐採,Felling
下り線,outbound line
入札,bid
見合う,Correspond
返る,Return
空冷,Air cooling
群島,Archipelago
ちょっと,A little
講堂,auditorium
釘,nail
村長,Village headman
棋院,棋院
丹後,Tango
公称,The nominal
北川,Kitagawa
特徴付ける,Characterizes
田代,Tashiro
監察,Inspection
省く,Omit
取り決める,Negotiate
法皇,Pope
ギャップ,gap
パスポート,passport
パラグアイ,Paraguay
災い,Calamity
臓器,Internal organs
更生,resuscitation
投影,projection
